Indeces of clusters	Elements of clusters
cluster_235	[[8,26],]
cluster_236	[[8,27],]
cluster_237	[[8,28],[8,29],[9,29],[9,30],[10,30],]
cluster_238	[[8,29],[9,29],[9,30],[10,30],[8,28],]
cluster_239	[[8,30],]
cluster_240	[[9,1],]
cluster_241	[[9,2],[9,3],]
cluster_242	[[9,3],[9,2],]
cluster_243	[[9,4],]
cluster_244	[[9,5],]
cluster_245	[[9,6],]
cluster_246	[[9,7],]
cluster_247	[[9,8],[8,8],[7,8],[9,9],]
cluster_248	[[9,9],[9,8],[8,8],[7,8],]
cluster_249	[[9,10],]
cluster_250	[[9,11],]
cluster_251	[[9,12],[9,13],]
cluster_252	[[9,13],[9,12],]
cluster_253	[[9,14],[10,14],[11,14],]
cluster_254	[[9,15],[10,15],]
cluster_255	[[9,16],]
cluster_256	[[9,17],]
cluster_257	[[9,18],]
cluster_258	[[9,19],]
cluster_259	[[9,20],]
cluster_260	[[9,21],]
cluster_261	[[9,22],[8,22],[8,23],]
cluster_262	[[9,23],[10,23],[10,24],[11,24],]
cluster_263	[[9,24],]
cluster_264	[[9,25],]
cluster_265	[[9,26],]
cluster_266	[[9,27],]
cluster_267	[[9,28],]
cluster_268	[[9,29],[8,29],[8,28],[9,30],[10,30],]
cluster_269	[[9,30],[10,30],[9,29],[8,29],[8,28],]
cluster_270	[[10,1],]
cluster_271	[[10,2],[11,2],[11,1],[10,3],[10,4],]
cluster_272	[[10,3],[10,4],[10,2],[11,2],[11,1],]
cluster_273	[[10,4],[10,3],[10,2],[11,2],[11,1],]
cluster_274	[[10,5],[10,6],[10,7],]
cluster_275	[[10,6],[10,7],[10,5],]
cluster_276	[[10,7],[10,6],[10,5],]
cluster_277	[[10,8],[11,8],[12,8],[13,8],[13,9],[14,9],[12,7],[11,7],]
cluster_278	[[10,9],]
cluster_279	[[10,10],]
cluster_280	[[10,11],[11,11],[12,11],[12,12],[13,12],[12,10],[11,10],]
cluster_281	[[10,12],]
cluster_282	[[10,13],]
cluster_283	[[10,14],[11,14],[9,14],]
cluster_284	[[10,15],[9,15],]
cluster_285	[[10,16],[11,16],]
cluster_286	[[10,17],]
cluster_287	[[10,18],]
cluster_288	[[10,19],]
cluster_289	[[10,20],]
cluster_290	[[10,21],]
cluster_291	[[10,22],]
cluster_292	[[10,23],[9,23],[10,24],[11,24],]
cluster_293	[[10,24],[11,24],[10,23],[9,23],]
cluster_294	[[10,25],[10,26],]
cluster_295	[[10,26],[10,25],]
cluster_296	[[10,27],]
cluster_297	[[10,28],]
cluster_298	[[10,29],[11,29],[11,30],[12,30],]
cluster_299	[[10,30],[9,30],[9,29],[8,29],[8,28],]
cluster_300	[[11,1],[11,2],[10,2],[10,3],[10,4],]
cluster_301	[[11,2],[10,2],[10,3],[10,4],[11,1],]
cluster_302	[[11,3],[11,4],]
cluster_303	[[11,4],[11,3],]
cluster_304	[[11,5],[12,5],[13,5],[13,6],]
cluster_305	[[11,6],]
cluster_306	[[11,7],[12,7],[12,8],[13,8],[13,9],[14,9],[11,8],[10,8],]
cluster_307	[[11,8],[12,8],[13,8],[13,9],[14,9],[12,7],[11,7],[10,8],]
cluster_308	[[11,9],]
cluster_309	[[11,10],[12,10],[12,11],[11,11],[10,11],[12,12],[13,12],]
cluster_310	[[11,11],[12,11],[12,12],[13,12],[12,10],[11,10],[10,11],]
cluster_311	[[11,12],]
cluster_312	[[11,13],]
cluster_313	[[11,14],[10,14],[9,14],]
cluster_314	[[11,15],]
cluster_315	[[11,16],[10,16],]
cluster_316	[[11,17],[12,17],]
cluster_317	[[11,18],[12,18],[12,19],[13,19],]
cluster_318	[[11,19],]
cluster_319	[[11,20],]
cluster_320	[[11,21],[11,22],]
cluster_321	[[11,22],[11,21],]
cluster_322	[[11,23],]
cluster_323	[[11,24],[10,24],[10,23],[9,23],]
cluster_324	[[11,25],]
cluster_325	[[11,26],[12,26],[12,27],]
cluster_326	[[11,27],[11,26],[12,26],]
cluster_327	[[11,28],[12,28],]
cluster_328	[[11,29],[10,29],[11,30],[12,30],]
cluster_329	[[11,30],[12,30],[12,29],]
cluster_330	[[12,1],]
cluster_331	[[12,2],]
cluster_332	[[12,3],]
cluster_333	[[12,4],]
cluster_334	[[12,5],[13,5],[13,6],[11,5],]
cluster_335	[[12,6],]
cluster_336	[[12,7],[11,7],[12,8],[13,8],[13,9],[14,9],]
cluster_337	[[12,8],[13,8],[13,9],[14,9],[11,8],[10,8],[12,7],]
cluster_338	[[12,9],]
cluster_339	[[12,10],[11,10],[11,11],[12,11],[12,12],[13,12],[10,11],]
cluster_340	[[12,11],[11,11],[10,11],[11,10],[12,10],[12,12],[13,12],]
cluster_341	[[12,12],[13,12],[12,11],[11,11],[10,11],[11,10],[12,10],]
cluster_342	[[12,13],]
cluster_343	[[12,14],[12,15],]
cluster_344	[[12,15],[12,14],]
cluster_345	[[12,16],]
cluster_346	[[12,17],[11,17],]
cluster_347	[[12,18],[11,18],[12,19],[13,19],]
cluster_348	[[12,19],[13,19],[12,18],[11,18],]
cluster_349	[[12,20],[13,20],]
cluster_350	[[12,21],]
cluster_351	[[12,22],]
cluster_352	[[12,23],[12,24],[13,24],[12,25],]
cluster_353	[[12,24],[13,24],[12,25],[12,23],]
cluster_354	[[12,25],[12,24],[13,24],[12,23],]
cluster_355	[[12,26],[11,26],[11,27],]
cluster_356	[[12,27],[12,26],[11,26],]
cluster_357	[[12,28],[11,28],]
cluster_358	[[12,29],[12,30],[11,30],]
cluster_359	[[12,30],[11,30],[11,29],[10,29],]
cluster_360	[[13,1],[14,1],[15,1],[14,2],[14,3],[13,3],[14,4],]
cluster_361	[[13,2],]
cluster_362	[[13,3],[14,3],[14,4],[14,2],[14,1],[15,1],[13,1],]
cluster_363	[[13,4],]
